Topic,Age Group,Category
Animals and Their Sounds,Group 1 (Grade 1-3),Learning and Education
Basic Shapes and Colors,Group 1 (Grade 1-3),Learning and Education
Basic Traffic Rules,Group 1 (Grade 1-3),Everyday Life
Basic Weather Types,Group 1 (Grade 1-3),Everyday Life
Common Professions,Group 1 (Grade 1-3),Everyday Life
Days of the Week and Months of the Year,Group 1 (Grade 1-3),Learning and Education
Famous Cartoon Characters,Group 1 (Grade 1-3),Fun and Entertainment
Famous Children's Books or Stories,Group 1 (Grade 1-3),Fun and Entertainment
Famous Festivals around World,Group 1 (Grade 1-3),Culture and Heritage
Famous Monuments,Group 1 (Grade 1-3),Culture and Heritage
Famous Parks or Zoos,Group 1 (Grade 1-3),Geography and Nature
Famous Sports,Group 1 (Grade 1-3),Fun and Entertainment
Festivals Around the World,Group 1 (Grade 1-3),Culture and Heritage
Fruits and Their Colors,Group 1 (Grade 1-3),Learning and Education
Names of Continents and Oceans,Group 1 (Grade 1-3),Geography and Nature
Names of Famous Rivers,Group 1 (Grade 1-3),Geography and Nature
National Animals of Countries,Group 1 (Grade 1-3),Culture and Heritage
National Symbols of Countries,Group 1 (Grade 1-3),Culture and Heritage
Planet Names,Group 1 (Grade 1-3),Geography and Nature
Simple Health Habits,Group 1 (Grade 1-3),Everyday Life
Basic Concepts of Democracy,Group 2 (Grade 4-6),Civics and Society
Basic World Geography,Group 2 (Grade 4-6),Geography and World Wonders
Basics of Computers and Internet Safety,Group 2 (Grade 4-6),Science and Technology
Common Diseases and Prevention,Group 2 (Grade 4-6),Science and Technology
Cultural Festivals around world,Group 2 (Grade 4-6),History and Heritage
Current Affairs for Kids,Group 2 (Grade 4-6),Current Affairs and Personalities
Environmental Conservation,Group 2 (Grade 4-6),Civics and Society
Famous Inventions and Their Inventors,Group 2 (Grade 4-6),Science and Technology
Famous Landmarks Across the World,Group 2 (Grade 4-6),Geography and World Wonders
Famous Rulers and Freedom Fighters,Group 2 (Grade 4-6),History and Heritage
Famous Sports Personalities,Group 2 (Grade 4-6),Current Affairs and Personalities
Important Days,Group 2 (Grade 4-6),Current Affairs and Personalities
Important Historical Events,Group 2 (Grade 4-6),History and Heritage
Major Languages Spoken Around the World,Group 2 (Grade 4-6),Civics and Society
National and International Leaders,Group 2 (Grade 4-6),History and Heritage
Popular Space Missions,Group 2 (Grade 4-6),Science and Technology
States and Capitals of Countries around world,Group 2 (Grade 4-6),Geography and World Wonders
Wildlife and National Parks,Group 2 (Grade 4-6),Geography and World Wonders
Wonders of the Natural World,Group 2 (Grade 4-6),Geography and World Wonders
World Flags and Their Symbols,Group 2 (Grade 4-6),Civics and Society
Current Affairs and World Leaders,Group 3 (Grade 7-10),Current Affairs and Culture
Cybersecurity Awareness,Group 3 (Grade 7-10),Science and Technology
Environmental Issues,Group 3 (Grade 7-10),Global Issues and Awareness
Famous Books and Authors Globally,Group 3 (Grade 7-10),Current Affairs and Culture
Famous Historical Monuments and Their Significance,Group 3 (Grade 7-10),History and Heritage
Famous Scientists and Their Contributions,Group 3 (Grade 7-10),Science and Technology
Famous/Iconic History,Group 3 (Grade 7-10),History and Heritage
Geopolitics and International Relations,Group 3 (Grade 7-10),"Politics, Economy, and Society"
Global Organizations,Group 3 (Grade 7-10),"Politics, Economy, and Society"
Human Rights and Social Issues,Group 3 (Grade 7-10),Global Issues and Awareness
Major Natural Disasters and Their Impact,Group 3 (Grade 7-10),Global Issues and Awareness
Major Space Agencies and Achievements,Group 3 (Grade 7-10),Science and Technology
Renewable Energy and Sustainability,Group 3 (Grade 7-10),Global Issues and Awareness
Sports and World Tournaments,Group 3 (Grade 7-10),Current Affairs and Culture
Technological Advances,Group 3 (Grade 7-10),Science and Technology
World Capitals and Continents,Group 3 (Grade 7-10),Current Affairs and Culture
World Economy Basics,Group 3 (Grade 7-10),"Politics, Economy, and Society"
World History,Group 3 (Grade 7-10),History and Heritage
World Political System,Group 3 (Grade 7-10),"Politics, Economy, and Society"
World Religions and Their Teachings,Group 3 (Grade 7-10),History and Heritage
